COUSUBA,PLACEA,TRACTA,BLKGRPA,CONCITA,AIANHHA,RES_ONLYA,TRUSTA,AITSCEA,ANRCA,CBSAA,CSAA,METDIVA,NECTAA,CNECTAA,NECTADIVA,UAA,CDCURRA,SLDUA,SLDLA,ZCTA5A,SUBMCDA,SDELMA,SDSECA,SDUNIA,PUMA5A,BTTRA,BTBGA,AH04E001,AH04E002,AH04E003,AH04E004,AH04E005,AH04E006,AH04E007,AH04E008,AH04E009,AH04E010,AH04E011,AH04E012,AH04E013,AH04E014,AH04E015,AH04E016,AH04E017,AH04E018,AH04E019,AH04E020,AH04E021,AH04E022,AH04E023,AH04E024,AH04E025,AH04M001,AH04M002,AH04M003,AH04M004,AH04M005,AH04M006,AH04M007,AH04M008,AH04M009,AH04M010,AH04M011,AH04M012,AH04M013,AH04M014,AH04M015,AH04M016,AH04M017,AH04M018,AH04M019,AH04M020,AH04M021,AH04M022,AH04M023,AH04M024,AH04M025,STATEA,COUNTYA
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,79,0,0,0,0,0,0,0,0,2,0,1,1,2,2,2,16,4,5,10,16,11,5,0,2,18,11,11,11,11,11,11,11,11,2,11,2,2,3,2,2,9,5,4,7,7,5,6,11,2,15,005
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,50275,366,6,11,41,94,243,81,184,469,147,640,330,513,560,443,14513,1186,2213,7793,6243,9793,3052,724,630,31,134,8,17,29,62,119,58,97,134,56,173,127,198,163,112,732,226,308,497,497,629,306,148,169,15,007
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,115902,778,30,7,34,157,245,251,186,985,282,953,719,1263,1608,1625,33074,3396,7422,20660,11768,20711,6254,2236,1258,95,188,41,9,32,100,108,132,95,223,125,225,169,265,322,259,1263,491,613,993,780,946,571,338,228,15,009
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,289374,1960,223,40,112,99,62,55,236,567,278,1131,1322,2214,3125,3926,50214,14487,25365,48168,26887,73092,24666,6660,4485,167,466,152,47,109,86,70,54,157,170,154,299,345,499,534,585,1886,1342,1489,2074,1203,2123,1216,626,535,16,001
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3041,0,0,0,6,0,0,0,13,30,0,38,43,107,64,29,950,182,226,542,195,359,208,40,9,84,12,12,12,10,12,12,12,14,24,12,34,23,72,25,22,128,51,62,105,62,85,73,33,15,16,003
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,52599,399,2,0,0,0,65,13,48,152,119,304,422,809,1018,864,11316,2378,4730,10411,4793,9807,3102,986,861,169,126,4,28,28,28,62,20,55,107,59,123,148,199,244,168,594,330,401,618,415,517,376,223,170,16,005
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3904,36,0,2,0,0,0,0,0,6,3,10,17,32,58,80,1348,154,349,667,350,646,105,23,18,29,24,17,3,17,17,17,17,17,8,4,10,15,18,38,30,120,65,61,78,65,98,39,14,17,16,007
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,6422,44,0,0,0,0,0,5,5,14,45,106,87,261,95,220,2100,408,535,1149,445,617,210,43,33,17,32,17,17,17,17,17,11,7,15,23,40,32,104,31,128,171,97,117,171,88,88,74,33,30,16,009
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,27152,512,20,14,2,9,96,186,110,473,139,184,379,464,587,398,7273,1122,2380,5104,2468,3747,1110,251,124,106,174,33,16,4,14,74,112,89,150,95,102,139,169,168,122,551,215,336,508,302,440,192,97,66,16,011
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,15157,69,20,0,0,25,28,75,67,525,54,67,149,229,190,221,2916,337,739,2263,1063,4166,1334,307,313,153,57,32,22,22,31,45,101,73,224,52,63,94,146,119,113,350,203,214,366,260,362,233,109,125,16,013
